Entity,Code,Year,unknown_gear,other_gear,longline,gillnet,small_scale,purse_seine,pelagic trawl,bottom_trawl,unknown_gear,other_gear,longline,gillnet,small_scale,purse_seine,pelagic trawl,bottom_trawl
World,OWID_WRL,1981,6736510.392,10393166.76,2277199.176,1636513.12,15284588.67,22742381.98,8438542.703,25473941.36,6736510.392,10393166.76,2277199.176,1636513.12,15284588.67,22742381.98,8438542.703,25473941.36
World,OWID_WRL,1982,6409121.57,10379076.95,2266878.551,1687118.75,14993170.55,26248874.65,8579547.613,27821360.39,6409121.57,10379076.95,2266878.551,1687118.75,14993170.55,26248874.65,8579547.613,27821360.39
World,OWID_WRL,1983,6897064.226,10099744.75,2347002.829,1638652.601,15290901.32,23757612.11,8796818.612,28229112.99,6897064.226,10099744.75,2347002.829,1638652.601,15290901.32,23757612.11,8796818.612,28229112.99
World,OWID_WRL,1984,6930365.981,10810883.81,2257867.979,1801451.726,15795782.53,26792727.62,9343133.562,29647209.67,6930365.981,10810883.81,2257867.979,1801451.726,15795782.53,26792727.62,9343133.562,29647209.67
World,OWID_WRL,1985,6861279.873,10898169.3,2294675.702,1961856.455,16159335.59,29095366.47,9508288.03,30187659.48,6861279.873,10898169.3,2294675.702,1961856.455,16159335.59,29095366.47,9508288.03,30187659.48
World,OWID_WRL,1986,7308297.146,10726878.86,2367197.327,2000876.847,16301245.89,31529871.64,9911191.271,31831508.61,7308297.146,10726878.86,2367197.327,2000876.847,16301245.89,31529871.64,9911191.271,31831508.61
World,OWID_WRL,1987,7109549.286,11558746.49,2649384.591,2157997.797,17100296.47,30786681.76,9933883.648,32308927.63,7109549.286,11558746.49,2649384.591,2157997.797,17100296.47,30786681.76,9933883.648,32308927.63
World,OWID_WRL,1988,7082250.29,11018692.95,2600836.069,2275911.046,17331224.59,32638768.56,10024011.39,32669752.3,7082250.29,11018692.95,2600836.069,2275911.046,17331224.59,32638768.56,10024011.39,32669752.3
World,OWID_WRL,1989,6873628.238,10994018.78,2671993.069,2232982.987,17584434.31,33126500.3,10031373.51,33292296.97,6873628.238,10994018.78,2671993.069,2232982.987,17584434.31,33126500.3,10031373.51,33292296.97
World,OWID_WRL,1990,10677755.37,10992443.29,2589484.765,2346509.55,17509178.75,29970785.22,12391505.06,25890289.19,10677755.37,10992443.29,2589484.765,2346509.55,17509178.75,29970785.22,12391505.06,25890289.19
World,OWID_WRL,1991,6386756.353,10900709.8,2734453.27,2189231.025,17513980.52,31248652.89,16108775.91,25185613.11,6386756.353,10900709.8,2734453.27,2189231.025,17513980.52,31248652.89,16108775.91,25185613.11
World,OWID_WRL,1992,5852955.104,11066573.23,2980614.27,2354565.038,17631882.19,33503356.04,15637767.38,25805169.22,5852955.104,11066573.23,2980614.27,2354565.038,17631882.19,33503356.04,15637767.38,25805169.22
World,OWID_WRL,1993,5310039.383,10682864,3087709.719,2505106.655,17825795.73,35317309.79,14238099.81,25768121.35,5310039.383,10682864,3087709.719,2505106.655,17825795.73,35317309.79,14238099.81,25768121.35
World,OWID_WRL,1994,5108096.703,10650238.61,3228663.254,2725228.133,18482012.38,40880140.4,12532835.44,27188910.43,5108096.703,10650238.61,3228663.254,2725228.133,18482012.38,40880140.4,12532835.44,27188910.43
World,OWID_WRL,1995,5316882.212,11173020.96,3100499.404,2549860.571,19246172.04,36737024.66,14496674.03,28115095.63,5316882.212,11173020.96,3100499.404,2549860.571,19246172.04,36737024.66,14496674.03,28115095.63
World,OWID_WRL,1996,5198497.233,11200289.08,3276433.071,2611745.902,19940317.86,37642262.27,16587607.62,27829854.7,5198497.233,11200289.08,3276433.071,2611745.902,19940317.86,37642262.27,16587607.62,27829854.7
World,OWID_WRL,1997,5642980.978,10997148.94,3585875.717,2945116.764,20127099.73,35610956.73,16107793.85,27623950.96,5642980.978,10997148.94,3585875.717,2945116.764,20127099.73,35610956.73,16107793.85,27623950.96
World,OWID_WRL,1998,5444964.945,11431608.03,3276811.132,2888605.007,20090080.32,26942220.27,15665666.16,27624818.75,5444964.945,11431608.03,3276811.132,2888605.007,20090080.32,26942220.27,15665666.16,27624818.75
World,OWID_WRL,1999,5790771.386,11803127.77,3465081.552,2961634.629,19671414.95,33848462.26,14198512.91,26324076,5790771.386,11803127.77,3465081.552,2961634.629,19671414.95,33848462.26,14198512.91,26324076
World,OWID_WRL,2000,6019216.835,12136545.68,3454540.242,3212319.339,19552878.58,37176116.81,13355679.73,25939284.26,6019216.835,12136545.68,3454540.242,3212319.339,19552878.58,37176116.81,13355679.73,25939284.26
World,OWID_WRL,2001,6108727.603,12103649.03,3408703.797,3086906.148,19834913.74,32689827.59,14143961.01,26174785.22,6108727.603,12103649.03,3408703.797,3086906.148,19834913.74,32689827.59,14143961.01,26174785.22
World,OWID_WRL,2002,5710431.137,11509276.82,3174584.776,3059522.648,19255276.22,34539988.36,13053067.8,26022869.42,5710431.137,11509276.82,3174584.776,3059522.648,19255276.22,34539988.36,13053067.8,26022869.42
World,OWID_WRL,2003,5716923.389,11678370.44,3270200.997,3503360.291,20185408.18,30752983.77,14450857.69,25021692.81,5716923.389,11678370.44,3270200.997,3503360.291,20185408.18,30752983.77,14450857.69,25021692.81
World,OWID_WRL,2004,5346009.039,11444410.8,3286335.967,3510063.914,20458958.22,36110555.05,13517848.94,25273457.08,5346009.039,11444410.8,3286335.967,3510063.914,20458958.22,36110555.05,13517848.94,25273457.08
World,OWID_WRL,2005,5384966.256,11149559.08,3098091.689,3656865.503,19933069.69,35295644.18,13664208.83,24113534.21,5384966.256,11149559.08,3098091.689,3656865.503,19933069.69,35295644.18,13664208.83,24113534.21
World,OWID_WRL,2006,5619028.289,12005964.73,3198622.764,3551192.797,20149703.23,30484404.6,12489987.73,24239827.59,5619028.289,12005964.73,3198622.764,3551192.797,20149703.23,30484404.6,12489987.73,24239827.59
World,OWID_WRL,2007,5889378.578,11603684.83,3285715.423,3652007.496,19617001.02,30694509.49,12645113.85,23940491.09,5889378.578,11603684.83,3285715.423,3652007.496,19617001.02,30694509.49,12645113.85,23940491.09
World,OWID_WRL,2008,5961170.8,11555608.04,2910567.166,3690876.936,19781698.19,29167926.63,12018131.72,23816667.94,5961170.8,11555608.04,2910567.166,3690876.936,19781698.19,29167926.63,12018131.72,23816667.94
World,OWID_WRL,2009,5820839.961,11795158.86,2682935.822,3853421.302,20253317.62,28538962.27,11113685.26,24038695.76,5820839.961,11795158.86,2682935.822,3853421.302,20253317.62,28538962.27,11113685.26,24038695.76
World,OWID_WRL,2010,5895045.227,11570003.31,2676090.43,4082097.745,20206329.14,24392912.04,11940841.23,24494915.82,5895045.227,11570003.31,2676090.43,4082097.745,20206329.14,24392912.04,11940841.23,24494915.82
World,OWID_WRL,2011,5294148.188,12738827.31,2791585.671,4153797.009,20278162.53,30691807.82,11090121.32,25088238.94,5294148.188,12738827.31,2791585.671,4153797.009,20278162.53,30691807.82,11090121.32,25088238.94
World,OWID_WRL,2012,5356693.911,12525981.8,2904015.208,4269528.954,21135316.15,25675673.3,10795511.71,24582928.15,5356693.911,12525981.8,2904015.208,4269528.954,21135316.15,25675673.3,10795511.71,24582928.15
World,OWID_WRL,2013,5215494.337,12616560.05,2998907.546,4326715.272,20912206.85,26194813.47,10430577.41,25932192.16,5215494.337,12616560.05,2998907.546,4326715.272,20912206.85,26194813.47,10430577.41,25932192.16
World,OWID_WRL,2014,5999577.342,12065529.64,3066081.462,3037376.438,21380832.13,22969076.39,12514410.98,28060846.27,5999577.342,12065529.64,3066081.462,3037376.438,21380832.13,22969076.39,12514410.98,28060846.27
World,OWID_WRL,2015,7741675.756,12102076.86,2945605.508,3704505.183,20585814.72,22972997.06,11316257.27,27927380.76,7741675.756,12102076.86,2945605.508,3704505.183,20585814.72,22972997.06,11316257.27,27927380.76
World,OWID_WRL,2016,6043339.79,11510352.1,2400275.122,3567548.471,20093660.54,22055248.93,11600055.5,28407146.52,6043339.79,11510352.1,2400275.122,3567548.471,20093660.54,22055248.93,11600055.5,28407146.52
World,OWID_WRL,2017,8358019.73,14013024.14,2654656.777,3563425.392,19081163.18,20039197.12,11434319.16,28802362.51,8358019.73,14013024.14,2654656.777,3563425.392,19081163.18,20039197.12,11434319.16,28802362.51
World,OWID_WRL,2018,7876275.227,14423339.4,2371153.044,3183270.222,19477973.35,22884110.59,11669734.58,27449950.29,7876275.227,14423339.4,2371153.044,3183270.222,19477973.35,22884110.59,11669734.58,27449950.29
